SampleIDname,Propanal,Ethyl acetate,2-BUtanone,2-Methyl-3-buten-2-ol,1-Propanol,Hexanal,2-Methyl propanol,Pyridine,3-Methyl-2-butenal,"2-Hexenal, (E)-","1-Butanol, 3-methyl-","3-Buten-1-ol, 3-methyl-",3-Hydroxy-2-butanone,3-Methyl-2-buten-1-ol,"2-Pentanone, 4-hydroxy-4-methyl-",1-Hexanol,"2-Hexen-1-ol, (E)-",Acetic acid,Benzaldehyde,2-Methyl propanoic acid,"2,2-Dimethyl propanoic acid",Butanoic acid,3-Methyl butanoic acid,Pentanoic acid,"2-Butenoic acid, 3-methyl-",Hexanoic acid,Benzyl alcohol
WandinE_CH_R15_T2,0.799226757,2.555273944,10.64551358,1.667646813,2.3193383,3.840583051,0.040893293,0.00438679,3.060545439,3.811589462,0.442579536,12.76942783,5.918896888,23.39930036,10.73168752,0.659241393,3.88049115,3.344309912,123.8062701,3.17905856,17.90514558,0.829570037,11.36792324,0.44787837,0.737820199,0.381789674,90.12740822
WandinE_T3,1.171522998,2.882675758,17.8686245,1.611477316,5.742397899,5.59087842,0.077706743,0.013358946,3.331149464,17.07523034,16.72391285,8.934846118,11.64122169,34.79625874,27.52708758,0.930985267,5.851978616,6.491577553,15.17694768,1.599911987,12.38323786,0.404372243,5.254743611,0.115192941,0.487056353,0.060484498,7.779844622
WandinE_T4,1.010973068,8.430940373,24.49168474,1.985156928,7.639064618,6.605309559,0.163119137,0.017930485,4.979461967,27.53883784,24.20464616,12.58763524,18.74135879,62.13244763,31.40567331,2.258679369,16.7126502,4.078363652,212.0858105,1.61812943,12.40373722,0.61138518,4.090366539,0.201576615,0.469589167,0.465617222,126.7642658
WandinE_T5,1.167189626,2.245356839,25.3590348,3.731427102,6.599292804,12.03922286,0.056411078,0.026886943,7.47790379,35.04573983,33.33723469,17.70968796,76.05592338,70.58684142,18.09459681,1.763773352,10.89481757,8.278110402,84.10125652,2.879853226,19.18422316,1.463459942,4.540287078,0.641422252,0.716726492,0.861661274,28.85690455
WandinE_T6,1.165558344,1.494101502,42.27331765,2.521160548,9.171893852,12.34102607,0.101760734,0.023132802,7.180149224,21.74481737,7.959374065,20.52006235,14.16855111,83.51402778,22.44354576,1.730407155,9.817594258,4.914414807,390.2064423,1.796406389,22.14343764,1.842626938,5.168741602,1.578758065,1.138287375,0.740351085,141.2354062
WandinE_T7,2.266139525,17.07232336,46.35088396,3.673855642,16.51847125,8.514187186,0.115787874,0.038062851,8.514668095,8.885043506,1.760869514,17.81872679,39.0784637,86.87924708,30.27913254,1.258410835,14.10005185,6.483925367,122.0378718,3.204179069,25.60261115,1.616821841,5.373781636,0.857398006,0.851722151,0.872216676,31.02220187
WandinE_T8,1.212043882,10.90869331,25.28935047,2.176076974,15.51167128,7.578454161,0.40369375,0.033482619,6.441712869,11.46886832,0.385161972,18.25213989,11.67944967,81.29867118,19.54717864,3.848192847,5.03535342,5.20211311,167.0601498,1.681097989,9.291227142,0.244115857,2.274347764,0.331575692,0.343810299,0.169918443,38.94569885
WandinE_CH_R12_T9,1.01867125,15.57431371,22.5838076,1.773326061,8.120188683,8.81757517,0.063240883,0.013139992,5.222432943,25.58635088,16.7683569,12.54429511,26.576064,68.14677567,28.54482721,1.682633733,5.739872311,6.469441589,83.71514403,2.450401108,11.61269631,0.530690206,1.573933941,0.364687073,0.547633051,0.635514421,117.8037538
Tas_CFB_SoilA,2.232742819,1.641999271,41.65341305,3.669419689,5.024491664,7.414194788,0.049536477,0.065107552,9.034856718,12.01410289,3.178573176,27.02610912,29.16043408,99.138149,34.29480974,9.066532065,57.27893122,8.517555742,212.2066507,4.696951201,19.73320249,0.904034003,5.595647676,1.201647661,1.920518554,0.892786483,165.7555222
Tas_CFB_SoilB,3.555225423,1.010336746,21.84561315,2.451488998,17.17860682,4.626447585,0.117628788,0.046215754,7.661851464,8.783121825,1.811686184,18.17928775,31.23042378,96.17872802,54.8347828,6.739611281,59.30718405,11.40881289,219.512618,4.345631472,16.35268572,0.439199087,5.992660618,0.539587876,1.587300622,1.536699104,86.06905376
Tas_CFB_SoilC,2.933822586,6.157461253,12.90164889,1.86533796,11.16538035,3.681581904,0.050418339,0.031038209,5.307644283,8.423233254,2.510470886,12.23139055,30.99134221,60.92670433,51.54799961,6.680306866,68.41576747,5.354944467,155.0851822,4.193183179,23.44481329,2.037977658,8.938564551,1.026513901,1.672757543,0.527845829,280.7237412
